date,category,amount
2024-01-03,Food,1200
2024-01-07,Transport,450
2024-01-10,Entertainment,800
2024-01-12,Food,950
2024-01-15,Utilities,1500
2024-01-18,Shopping,2200
2024-01-20,Food,1100
2024-01-22,Health,600
2024-01-25,Transport,300
2024-01-28,Food,850
2024-02-02,Food,1300
2024-02-05,Transport,500
2024-02-08,Entertainment,600
2024-02-10,Food,900
2024-02-14,Utilities,1500
2024-02-16,Shopping,1800
2024-02-19,Food,1050
2024-02-21,Health,400
2024-02-24,Transport,350
2024-02-27,Food,750
2024-03-01,Food,1400
2024-03-04,Transport,480
2024-03-07,Entertainment,1100
2024-03-11,Food,980
2024-03-13,Utilities,1500
2024-03-17,Shopping,2500
2024-03-20,Food,1200
2024-03-22,Health,700
2024-03-25,Transport,420
2024-03-28,Food,880
2024-04-02,Food,1350
2024-04-05,Transport,510
2024-04-09,Entertainment,700
2024-04-12,Food,1000
2024-04-15,Utilities,1500
2024-04-18,Shopping,1900
2024-04-21,Food,1100
2024-04-23,Health,500
2024-04-26,Transport,380
2024-04-29,Food,820
2024-05-01,Food,1450
2024-05-05,Transport,530
2024-05-08,Entertainment,900
2024-05-12,Food,1100
2024-05-15,Utilities,1600
2024-05-19,Shopping,2800
2024-05-22,Food,1250
2024-05-24,Health,650
2024-05-27,Transport,460
2024-05-30,Food,900
2024-06-02,Food,1500
2024-06-05,Transport,550
2024-06-08,Entertainment,1200
2024-06-11,Food,1150
2024-06-14,Utilities,1600
2024-06-17,Shopping,3100
2024-06-20,Food,1300
2024-06-23,Health,800
2024-06-26,Transport,500
2024-06-29,Food,950
